ID,SPP,SL.dig,BD1.dig,BD2.dig,CPD.dig,CPL.dig,PreDL.dig,DbL.dig,HL.dig,HD1.dig,HD2.dig,SnL.dig,OL.dig,SL.man,BD1.man,CPD.man,CPL.man,PreDL.man,DbL.man,HL.man,HD1.man,SnL.man,OL.man
AD22-096,p.lat,26.76072,8.317631137,10.05741931,5.145874828,9.90443341,6.704547444,6.066092904,6.188036615,5.846435,5.880655883,1.94208,2.314065078,24.5,7.5,4.6,7.7,11.9,6.6,6.7,5.1,2.4,2.3
AD22-097,p.lat,23.17858234,7.144213994,8.965792226,3.575019251,8.044877757,6.847568056,4.806557567,5.054629721,5.228622231,4.635476997,1.491397785,1.905856712,20.8,6.6,3.5,5.4,11.1,5.9,5.4,4.4,1.8,2
AD22-098,p.lat,29.697261,10.45662,11.86233143,5.404565084,8.984663148,8.068331891,6.550011312,7.040114102,6.906734717,6.510575831,2.11418,2.388458835,27.7,9,4.7,8,14.8,7,7.9,6,2.7,2.3
AD22-099,p.lat,22.47869705,5.507264659,10.17426028,3.764271757,7.762292954,9.136401476,2.357234342,4.757924099,4.888807166,4.480167303,1.567912351,1.885164953,20.8,6,3,6.6,11.4,6,5.5,4.4,1.8,1.9
AD22-101,p.lat,35.17828957,12.13918143,14.43228246,6.471562607,12.07615933,9.961668643,8.22102355,7.627335771,8.07981002,7.521942727,1.764478178,3.138603661,30.7,10.5,5.2,9.1,17,7.5,9.7,7.8,2.6,3.3
AD23-001,p.lat,35.80010633,11.74213643,15.48253334,6.348001152,12.12263071,11.60953848,8.119331069,7.648774769,7.8117297,7.560175072,1.85267716,3.122757739,33.4,10.3,5.5,9.9,17.9,7.6,8.4,6.5,2.7,2.8
AD23-002,p.lat,34.13485424,10.90724086,14.57340367,6.107445249,11.14898828,8.562504165,8.562504165,8.921164205,8.367043748,8.306214819,1.740742919,2.822362094,33.2,9.6,5.7,9.1,16.7,10.1,9.1,7.4,2.6,2.8
AD23-003,p.lat,43.11824098,15.70154078,18.33382873,8.465779112,13.80152989,12.54903391,11.46937709,9.469562109,9.69638646,8.808193236,2.418291129,3.39512,42.9,14.7,7.9,13.6,22.3,11.5,10.6,8.9,3.3,3.6
AD23-004,p.lat,32.79959442,10.63246874,13.82047369,5.860343462,10.39564192,12.53636289,8.10378622,4.705060014,7.041771917,6.07348638,2.1967225,2.879589889,32.4,9.5,5.2,9.6,17.4,8.6,8.1,7,2.8,3
AD23-005,p.lat,34.7275784,13.13356412,15.35085708,6.417891986,11.19687003,10.25148587,8.505614764,7.774183693,8.043871569,7.940786026,1.761844273,2.823866423,34.6,13,6.2,10.4,17.2,9.8,9.3,7.9,3.2,2.9
AD23-006,p.lat,31.72790222,11.29263472,14.0975966,5.917074487,9.896092079,11.03319847,7.523338361,5.831955216,7.084151457,6.801686188,1.912542312,2.793139647,31.4,10.5,5.5,9,16.8,7.6,8.7,7.3,3.1,2.7
AD23-007,p.lat,30.83470805,10.05171822,13.36732731,5.263621822,10.35755932,10.48550711,7.23665494,5.055676541,6.612851006,6.096830019,1.393052131,2.705231863,30.8,9,4.9,9.1,15.7,8,7.5,6.6,3,2.6
AD23-008,p.lat,33.77966651,11.6548873,14.60870861,6.454635038,10.78896031,11.85811876,8.136797622,5.948119463,7.347594894,6.630295915,1.843104765,2.880965927,33.7,11,5.9,9.8,16.6,7.4,8.2,7.3,2.9,2.9
AD23-013,p.lat,57.01581261,23.7271339,25.77281894,11.88693023,17.10520817,20.12215974,15.36270695,9.187856728,12.12400764,10.42321959,3.612180465,4.12422255,55.5,21.7,11.5,15.4,28.9,14.5,12.6,12.6,5,4.6
AD23-014,p.lat,36.10852238,14.08652234,16.14558765,7.151810892,11.15281889,12.24622124,9.264012902,6.3625684,7.933242821,7.215941515,2.197666806,3.134293767,34.4,11.9,6,9.7,19.1,9.7,9.1,8,2.3,3.4
AD23-015,p.lat,40.22238532,16.03346165,16.59220408,8.001934051,13.4273412,11.84052505,11.37717676,6.927012907,9.112322032,7.905206137,2.243163851,3.251819202,34.8,15.3,7.5,10.9,18.9,11.4,9.4,8.8,2.9,3.7
AD23-016,p.lat,41.07336078,16.35300904,17.9233145,8.416018576,13.64722793,13.70611927,10.17480355,7.167950324,9.247529787,8.127438039,2.300794674,3.352530871,40.4,15,8.1,11.9,20.3,11.6,9.5,8.9,3,3.4
AD23-017,p.lat,39.15818259,14.57299621,16.80792805,8.207069113,12.06025977,12.78541767,9.453019429,7.272842723,8.850719062,8.03750452,2.252157439,3.20682,37.4,13.4,7.8,8.9,19.2,9.3,8.8,8.6,3,3.6
AD23-018,p.lat,41.18807508,15.68733951,18.38312717,8.158947179,13.4522907,14.26882595,10.28718837,6.732448499,9.020432584,7.704493051,2.412810999,3.293534977,40.2,14.8,7.5,12.6,21.4,10.2,9.5,8.9,3.3,3.5
AD23-019,p.lat,43.20115843,17.99000062,19.10609462,8.794119845,14.19172713,14.19413167,11.80656071,7.043462667,9.697000473,8.370442479,2.433172115,3.201296627,40.9,16,8,11.6,23,11.5,10.4,10.1,3.2,3.6
AD23-020,p.lat,43.69918848,18.66603915,20.20113779,8.767057833,13.5126166,15.74274591,11.08350154,7.584379481,9.716801818,8.525663562,2.822130619,3.415495949,41.7,17.5,7.9,11.6,22.9,10.2,9.8,9.5,3.2,3.7
AD23-021,p.lat,41.17665303,16.18682366,18.10754972,8.230985258,12.93958929,14.09579421,10.69629984,6.906211853,9.188817006,7.759932783,2.329549787,3.252176918,39.4,14,7.8,10.8,20.5,10.5,10,9.1,3.2,3.9
AD23-022,p.lat,32.8441905,12.5298444,13.74637526,6.62497583,11.65004393,10.70983263,7.773759042,5.771276022,7.832324423,6.910025409,1.996620147,2.874835397,31.4,11.1,6.5,9.4,17,8.9,8.6,7.8,2.7,3
AD23-023,p.lat,38.40188218,14.26743405,16.32844097,7.280252268,12.29146679,12.35687968,9.579002451,7.03796848,8.804935092,7.820438057,2.454995863,3.336567671,36.4,12.5,6.9,10.5,19.4,10.3,9.8,8.7,3.2,3.6
AD23-024,p.lat,43.35521412,17.12831605,18.76106315,8.640908515,13.07705046,15.01298416,11.64249922,6.358832611,9.550885351,7.989504397,2.757712569,3.375484339,42.5,15.4,8.4,12.6,21,12.7,10.8,9.6,2.9,3.3
AD23-025,p.lat,37.13313075,14.62165105,15.95036365,7.325074327,12.15717088,10.77087477,9.38246626,7.821232671,8.717802629,8.493830455,2.18528565,2.989193959,36.4,14.2,7.2,10.2,18.7,10,8.9,8.4,2.6,3.8
AD23-026,p.lat,43.28630986,17.22217156,19.14170108,8.057443737,13.9718484,13.34046659,10.9702531,8.598008552,9.498519657,8.930385919,2.751532981,3.325216934,42.6,16.4,8,11.4,22.6,11.4,10.7,9.4,3.8,3.6
AD23-027,p.lat,38.52664804,15.15893655,17.36339447,7.060123324,13.18711002,10.83374578,8.958892937,9.042549906,9.305040767,8.977208119,2.548916736,3.15183711,36.5,13.5,7,11,19.5,9.5,9.7,8.5,3.1,3.5
AD23-028,p.lat,36.27388457,13.57388635,15.2663,7.276862745,12.53151363,9.784411723,9.778141913,7.878913393,8.67421962,8.255969733,2.126870508,3.053738193,35.8,11.9,7.4,11.5,18.7,10.3,9.6,8.9,3,3.6
AD23-029,p.lat,44.37711211,18.23159847,20.04522801,8.578078588,13.8555536,12.89960694,11.33460549,9.472992454,10.50834915,9.981733164,3.08251366,3.495803422,42.5,16.8,7.9,11.6,22.8,11.6,10.5,9.8,3.5,3.6
AD23-030,p.lat,35.04181456,13.70374558,15.46811947,6.779273391,11.76132413,9.89153122,8.908212947,7.985118193,8.586214297,8.243092426,2.284125924,3.02288,34.4,11.5,7,10.8,18.8,9.2,9.2,8.5,2.8,3.4
AD23-031,p.lat,57.53552106,22.74108251,24.50842555,12.18358254,19.03463951,16.31179143,15.2218073,12.18322087,13.1836974,12.28395501,3.57309158,3.769336263,56.4,22.5,11.5,16.5,28.7,15.5,13.9,13.8,4.3,4.7
AD23-032,p.lat,37.87958398,15.30954521,17.15326746,7.30722799,12.2866584,11.34825428,9.208070039,7.959015337,8.773704848,8.255898383,1.772359533,2.857843875,37.5,14,7.4,10.3,19.6,11.4,8.9,8.4,2.8,3.6
AD23-033,p.lat,55.62936128,23.22488998,23.72379242,11.35588005,17.79275817,15.93716978,16.15245344,10.61142313,12.86534803,12.10816402,3.6020283,4.065931199,53.5,21.5,10.8,16,26.6,16.3,11.6,11.5,3.9,4.5
AD23-034,p.lat,36.06164803,14.74751429,16.37291255,7.63087072,11.03138499,10.93822056,9.818919349,8.096308399,9.034174917,8.517013474,2.4213022,3.129218758,35.5,13.5,8.2,9.1,19.5,9.9,9.1,8.7,3,3.4
AD23-035,p.lat,33.97596485,12.4330019,14.31293549,6.587919068,11.5104632,10.3231169,8.83757527,7.011216652,8.33216994,7.468506712,2.092584813,2.796546159,34.1,12,6.6,10.4,18,9,8.4,8.1,3.2,3.7
AD23-036,p.lat,39.92013337,15.02826064,17.44097923,7.981475676,12.6539828,12.09464123,9.405678594,8.3631247,9.41282184,8.926034697,2.737946193,3.369346109,40.2,14.1,8.3,11.1,22,11.4,10.5,9.4,3.4,3.9
AD23-039,p.form,37.62589845,12.47822285,17.04059141,6.851896286,12.93339157,14.21952826,6.36400968,6.947240009,7.612083189,7.1903133,2.305454531,3.068515091,35.3,10.9,6.5,10,21.1,7.4,8.6,7.4,3.3,3.2
AD23-041,p.form,42.71904036,14.25925067,19.67241406,8.371204505,13.9748958,15.01871164,8.826726847,8.674300911,8.988166438,8.765321043,2.806006209,3.658052889,41.1,12.5,7.5,10.2,23.9,9.2,10.5,9.3,3.3,3.8
AD23-044,p.form,32.34688,10.37296904,14.54081175,5.720914983,10.80083684,11.23689235,5.874752946,6.50543069,6.704319094,6.56777573,1.982536183,2.708127298,31,9.6,5.5,8.9,18.2,5.9,6.6,6.5,2.9,3
AD23-046,p.form,49.08905589,18.47954747,23.06911397,9.174405878,16.69705362,19.69333764,9.447022709,7.510514573,9.459026315,8.28486022,2.246962204,3.631401601,45.5,14.5,8.5,14.5,26.7,9.8,10.8,10,3.2,3.8
AD23-047,p.form,43.89753868,16.68536897,19.29296707,8.238380704,15.63681742,13.61678115,8.733578885,9.066453838,9.214029118,9.053544658,2.418634156,3.425124782,37.5,11.5,6.6,11.7,20.3,8.2,8.8,7.5,3,3.2
AD23-048,p.form,38.3851784,13.8552478,17.33637377,6.838533851,12.94130801,12.95771193,7.21576626,8.44622531,8.389405362,7.764959601,2.687447476,3.297997752,33.4,10.2,5.8,9.5,19,6.8,8.1,7.1,3.1,2.6
AD23-049,p.form,35.74779974,12.58549118,15.61474993,6.377880099,12.06753055,11.5669538,7.185618953,8.057091586,7.961855294,7.666565275,2.25864413,3.125170948,32.5,9.9,5.5,9.9,18.8,6.8,7.7,7.3,3,2.8
AD23-050,p.form,37.75111617,13.39894087,16.83586793,6.952544036,12.88900394,11.99000453,7.141746544,8.753754759,8.439172595,8.374797457,2.289325815,3.308128365,33.9,10.3,6.5,10,20.5,6.8,8.6,7.4,2.9,2.9
AD23-051,p.form,42.39520915,14.48613416,19.90197177,8.159570122,13.80497005,14.49680454,7.063429165,9.50461793,9.582343657,8.983247413,2.491504551,3.524282662,37.8,11.5,7.1,11.5,22.2,7.1,8.5,8,3.1,3.6
AD23-054,p.form,29.73392082,10.37126943,13.44248023,5.172153424,8.999625184,9.944469605,5.331991394,7.189314157,6.9207014,6.812974917,1.906271342,2.972986728,27.5,8.4,4.5,7.5,16.2,6.1,7.9,6.5,2.6,2.7
AD23-055,p.form,29.25583721,10.08482151,13.14418248,5.115778528,9.116724286,9.401061279,4.809959611,7.215821095,6.839112099,6.686627335,1.861696631,3.083989854,26.5,8.4,4.3,7.5,15.9,5.5,7.5,6.2,2.3,2.7
AD23-056,p.form,32.36858432,11.45915498,14.40604386,5.630818522,9.738266605,12.27144409,5.436147565,6.507319951,7.053586771,6.220973933,2.445168583,3.048456808,30.4,9.9,5.4,8.5,18.6,5.4,8,6.5,2.7,2.8
AD23-057,p.form,32.77637466,11.29385194,14.81667583,5.719641478,10.66981062,10.86030347,4.719877549,7.718231288,7.446351251,7.164537899,2.708225843,2.852055417,29.4,9.5,4.8,8.6,17.1,5.5,8.4,6.6,2.5,2.6
AD23-058,p.form,31.28422964,10.85665168,13.80422989,5.705370416,9.644443923,10.57394856,5.400807351,7.672197438,7.177180014,6.895197164,2.507812724,2.999076337,27.7,9.1,4.8,7.2,17.1,5.6,8.1,6.9,2.4,2.6
AD23-059,p.form,34.34755889,11.20099924,14.85546859,6.114109862,10.43637726,12.05549613,6.230839926,7.386641637,7.778934337,6.942624963,2.331389205,3.185466064,31.2,9.4,5.4,8.5,17.5,6.6,8.7,7.4,2.5,3.4
AD23-060,p.form,28.95220471,10.36652646,13.30458521,5.137809555,8.464840205,10.29784492,5.550731664,6.739412511,6.911111377,6.41107865,2.035192795,2.874722566,26.9,9.5,4.5,7.9,16.5,6.2,7.5,6.2,2.2,2.6
AD23-061,p.form,31.36542329,9.639382363,13.20131277,5.534769871,10.22603078,9.835950909,6.585786852,7.896016095,7.423288011,7.084453251,2.204445925,3.002961992,28.9,8.4,5.1,8.9,16.6,5.6,7.8,6.6,2.7,2.7
AD23-062,p.form,30.77394042,9.588203494,14.0299147,5.259094785,9.452411206,10.34569317,6.174649361,7.790162527,7.086201038,7.082904638,2.253380391,3.11904,29,8.3,4.5,8,16.8,6.6,7.9,6.5,2,2.8
AD23-063,p.form,28.07640578,9.179105882,12.427,4.9708,9.230824676,10.92909203,5.12736825,4.871772015,5.901830042,5.159762975,1.825052733,2.688321434,25.8,8,4.4,6.6,15.3,5.1,6.7,6.1,2,2.4
AD23-064,p.form,27.68142925,8.499996343,12.19412467,5.191334881,8.789078157,10.38426103,5.109569072,5.460925535,6.280417294,5.536632328,1.68675787,2.85047476,26.5,7.4,4.6,7.4,15.7,5.4,6.8,6,2.2,3
AD23-065,p.form,32.67313682,10.55010787,14.07881857,5.781067493,10.54476415,11.36154402,5.208452234,7.638076042,7.584938379,6.956143392,2.032301189,3.526319981,29.2,7.4,5.1,8.1,17.1,7.5,7.8,6.5,2.6,3
AD23-066,p.form,41.34548134,14.63214742,18.86687603,7.637092397,13.91018385,12.76925844,7.404898369,10.79154656,10.00048119,10.37706334,2.714018795,3.48281957,38,11.9,6.6,11.5,22.1,7.8,10.3,8.5,2.5,3.5
AD23-067,p.form,34.53907664,11.77103296,15.89212532,6.536075705,11.43709894,13.25792094,6.092707044,6.011942495,7.351570619,6.541628949,1.91371597,2.938,33.1,9.8,6.3,10.1,19,7.1,8.6,7.5,1.9,2.9
AD23-068,p.form,35.86204331,12.95957098,16.02424472,6.911806918,12.14878827,14.05613098,6.391634088,6.398814108,7.741852891,6.800711949,2.565404412,2.977129603,34.9,10.9,6.3,10.3,20.7,7.5,9.1,7.4,3,3
AD23-069,p.form,38.91673682,15.44158096,18.56271549,7.540310586,11.79037596,14.30961253,7.396850521,8.469617944,8.649471015,8.252974318,2.974765039,3.904202041,38.1,12.1,6.9,10.6,22.6,7.1,9.7,8.2,3.4,3.5
AD23-070,p.form,33.6600842,11.52433118,15.23612579,6.094041178,10.97776463,11.85391344,5.894952703,7.321797386,7.380991601,7.097937812,2.433962435,2.614785228,32.1,9.5,5.5,9.1,18.5,6.1,8,6.7,2.8,2.5
AD23-071,p.form,34.54632692,11.60058619,15.50646472,5.994354678,11.77482399,11.93161448,5.640801362,7.841699816,7.772963399,7.59672561,3.356731744,3.009055666,33.4,11.1,5.3,11,20.3,7.1,8.6,8,2.7,2.7
AD23-072,p.form,32.74149753,12.18257912,15.14680731,6.21979694,9.971127252,11.8170336,6.517668802,7.150454332,7.661131841,6.964583848,2.788085628,3.207970516,32.8,11,5.7,9.6,18.7,6.4,8.8,7.1,2.7,3
AD23-073,p.form,40.65709971,14.63038987,18.69406809,7.989440089,13.20516215,14.3697546,8.0195563,8.072698077,8.759895384,8.158426251,3.137636863,3.493356811,40.7,12.4,7.5,12.5,23.4,8.5,9.9,9,3.4,3.6
AD23-074,p.form,32.04349748,11.05020938,14.51467134,5.863316825,10.36607706,11.49430118,5.668226978,6.908810509,7.415339908,6.98955193,2.631448301,3.011086746,31.4,9.4,5.4,9.8,18.2,6.3,9,6.8,2.7,2.8
AD23-075,p.form,30.78461962,10.80438467,13.84357166,5.767188399,9.895130129,10.47036513,5.784356282,6.635156567,6.826061128,6.505702288,2.579632798,2.91903804,30.7,10.1,5.4,9.5,17.6,6.4,8.4,7,2.3,3
AD23-076,p.form,36.92529008,12.87390862,17.6222994,7.142252827,11.3549497,14.5443209,6.610916754,6.982407146,7.952553139,7.256708883,2.372778396,3.282866134,36.8,11.2,6.5,10.5,21.9,7.3,9.4,8.2,2,3.1
AD23-077,p.form,42.05074022,15.65635016,19.2121869,8.480464518,13.63077082,15.3154332,8.531361529,7.828211625,9.066472726,8.334652498,2.954694602,3.565655352,40.5,13.8,7.9,11.5,23.1,9.1,11,9.3,2.9,3.3
AD23-078,p.form,37.08290687,12.72005646,16.83313025,7.106825514,11.99729129,13.76688006,7.172802264,6.976563054,7.990210252,7.343963833,2.674457146,3.146205399,35,10.8,6.6,10.5,20.6,7.2,9.6,8.1,2.7,3
AD23-079,p.form,36.77201118,12.77797042,16.64696686,6.733302734,11.51272275,13.1385338,7.097437372,7.469144726,7.860070935,7.364203433,2.236017488,3.21024,35.2,11.2,6.3,10.5,20.2,6.7,8.2,7.6,2.6,3.1
AD23-080,p.form,29.70789396,10.30164827,13.25379693,5.603763311,9.743997928,10.44566432,5.371958674,6.18726596,6.52575,6.17196235,2.446032412,2.855486747,29,9.1,5.3,8.4,15.9,5.7,7.8,6.3,2.2,2.6
AD23-081,p.form,40.2948,13.53543383,18.75191146,7.600348818,13.01561766,16.07591649,7.505978866,7.108733599,8.498550126,7.814770447,2.659903845,3.45384,38.4,12.1,6.6,10.9,23,7.1,9.5,8.3,2.7,2.9
AD23-084,p.form,35.75322946,10.66316823,14.55311027,6.902776366,11.10455002,12.06675197,7.338042859,7.267501243,7.631161158,7.059844001,2.671828786,2.938543219,33.6,9.2,6.1,10.5,19,6.9,9,7.9,3,3
AD23-085,p.form,27.66684097,8.0765,11.41119553,5.070612414,8.407241093,9.98662323,5.582310022,5.214721934,5.734733614,5.324013924,1.75896508,2.400921994,26.6,6.7,4.4,7.4,15.1,6.3,6.8,5.5,2.3,2.3
AD23-086,p.form,34.77162157,11.27110394,14.78046991,6.842090905,11.48343891,11.61937604,6.659056744,7.85538335,8.122611681,7.758903802,2.856838554,3.091217146,33,10.1,5.9,9.7,18.8,7.5,10.2,8.3,2.8,2.9
AD23-087,p.form,31.31969551,9.695789191,12.977456,6.092659084,9.767790141,8.434385715,7.021783223,9.082955159,7.370404206,7.411007208,2.827942889,2.768558655,31.4,8.6,5.8,10.1,16.9,6.2,9,6.6,2.9,3
AD23-088,p.form,40.24570763,12.23990883,16.8018,7.651990127,14.0749978,12.61879422,7.901338864,8.774144554,8.587002391,8.567553742,2.542081592,2.985889778,38.3,11.1,6.7,11.7,21.8,8.3,9.5,8.7,2.8,3.1
AD23-089,p.form,34.33525952,10.74843931,15.05442029,6.692138482,10.52238629,11.54717516,7.040554167,7.616312032,7.926988118,7.66463709,2.392121624,2.76324262,33.9,9.7,6.1,9.4,19,7.7,9,7.6,2.7,2.7
AD23-090,p.form,31.00965623,9.939450047,13.15636008,5.901689139,9.697676463,9.403359854,6.024416203,7.961190505,7.48568,7.24289217,2.181498151,2.680842429,30.3,9.2,5.5,9.3,17.2,6.2,7.8,6.7,2.7,2.7
AD23-091,p.form,28.26771116,8.399578582,11.93381028,5.202284237,9.477786964,9.185665694,4.811956839,6.504128001,6.181299376,6.09345036,1.807601144,2.41736,27.6,7.3,4.6,8.1,15.8,5.8,7.1,5.6,2.3,2.5
AD23-092,p.form,31.32419745,9.336213705,12.53354699,5.939905597,10.67947935,10.79012692,5.913776759,5.503315323,6.429767525,5.835734105,1.84641301,2.571034816,29.7,8.6,5.2,9.6,16.5,6.4,7.6,6.6,2.4,2.8
AD23-093,p.form,27.78795063,8.272539989,11.35969219,5.237048335,9.056458361,7.013071222,5.306781635,7.875785854,6.651935167,6.8112215,2.038474405,2.583436987,28,7.7,4.7,8.5,14.9,5.6,7.5,6.1,2.3,2.6
AD23-094,p.form,34.52986844,10.49531902,14.37284453,6.624216619,11.7988724,10.11782629,6.617767836,8.545601738,7.781103778,7.811059327,2.427086383,2.943126155,34.1,9.7,6.1,11.6,19,7.4,9.2,7.1,2.3,2.7
