ID,SPP,SL.dig,BD1.dig,BD2.dig,CPD.dig,CPL.dig,PreDL.dig,DbL.dig,HL.dig,HD1.dig,HD2.dig,SnL.dig,OL.dig,SL.man,BD1.man,CPD.man,CPL.man,PreDL.man,DbL.man,HL.man,HD1.man,SnL.man,OL.man
AD23-095,p.form,32.61372927,9.590428835,13.14268521,6.140510592,11.30807259,9.79259011,5.976433747,7.671580892,7.021301917,6.829101136,2.034980625,2.633608746,32.2,8.6,5.6,10.4,17.6,6.4,8.2,7.2,2.3,2.8
AD23-096,p.form,26.75962729,8.003910254,10.84097834,5.053474944,8.561166067,7.944379496,5.103766737,6.739820032,6.219483695,6.16848956,1.942695859,2.281246337,26.8,7.6,4.7,7.6,15.4,5.5,6.8,5.5,2.7,2.8
AD23-097,p.form,31.07359114,9.43035333,12.43771898,5.785762375,9.996702665,8.643546326,6.019911408,7.879492655,7.142041936,7.136779509,2.017931717,2.509470809,30.5,9,5.5,9.1,16.5,6.5,8.1,6.6,2.8,2.9
AD23-098,p.form,31.29668671,9.649066515,12.92518246,6.059363292,10.44837258,10.37731904,5.821046614,6.767559259,6.697714411,6.444889594,2.338955192,2.792561432,31.4,8.5,5.3,9.6,17,7.5,8.5,6.4,2.9,3
AD23-099,p.form,34.76895921,10.50933991,15.19957453,6.491661135,11.0726764,10.39005633,6.70579699,8.645222985,7.634394413,7.681027273,2.476789119,2.821302958,34.1,9.7,6.5,10.7,18.8,7.1,8.5,7.4,2.6,3
AD23-100,p.form,28.57998769,8.322011878,11.64241155,5.179394427,9.659302793,9.655866675,5.395805762,6.238758254,5.958882979,5.7728443,2.053004094,2.556006792,27.4,7.3,4.5,8.1,15.6,6,6.6,5.5,2.3,2.7
AD23-101,p.form,29.86402159,9.401404332,12.7863334,5.802675827,10.17621692,12.55291838,5.596940875,3.954630659,6.4288017,5.31989725,1.710434942,2.444984321,29.2,7.9,5.5,8.5,16.5,6.9,8,6.6,2.4,3
AD23-102,p.form,52.64651032,20.13208657,23.94631539,10.72507478,16.5740688,17.99299552,11.48095142,11.36790958,11.19225615,10.65529413,3.367585138,3.810684092,51.3,19.3,10,15,28.9,12.4,12.2,11.7,3.5,3.9
AD23-103,p.form,51.94686938,16.45181692,21.76704513,10.20548786,17.22095514,16.2527583,10.57418784,11.91633001,11.22932792,10.97194095,3.498503657,3.70082674,51.1,15.3,9.2,16,29.1,11,13.8,10.5,3.8,4
AD23-104,p.form,50.55514207,17.27121274,22.66726787,9.948645117,16.67245667,18.54308405,10.36617643,9.694458201,10.31176803,9.764094891,2.767407342,3.539723128,50.1,15.8,9.4,15.6,29.4,11.5,10.8,10.1,3.6,3.9
AD23-105,p.form,49.43665459,17.46958153,22.03323331,10.22478367,15.89837154,17.26250855,10.26006143,10.29446926,10.62323457,10.22158689,3.317398657,3.744608141,48.7,15.9,9.1,15.1,27.6,10.3,12.9,10.4,3.6,3.8
AD23-106,p.form,43.22090634,15.84172913,18.99833705,8.268476022,14.63886715,15.43732179,8.803872022,8.12317697,9.052860361,8.450508314,2.55747052,3.225013864,43.2,15,7.9,13.6,24.5,9,10.6,9.2,2.8,3.5
AD23-107,p.form,41.9060997,15.47267612,18.74387716,8.270607438,13.52105338,15.70911991,8.424090686,7.75192646,8.912563357,8.232425136,2.598351618,3.1978,41.4,14.8,7.5,12.6,24.7,9.5,10.3,9.4,3.2,3.4
AD23-108,p.form,56.61837022,19.50405166,24.86318033,10.05928372,17.73310737,18.7253443,10.64132512,12.20180767,12.12539717,11.17516693,3.842367922,4.1721386,51.5,17.9,9.4,16.7,29.6,9,13.5,11.3,3.4,4
AD23-109,p.form,43.3941337,14.48217329,18.26040575,7.607647365,14.03755028,15.18557272,8.671236012,8.567706484,8.768382791,7.982814787,2.526339968,3.637679197,38.5,12.4,6.8,11.8,21.9,8.2,11,8.3,2.6,3.3
AD23-110,p.form,36.53977446,11.99323499,15.36635841,7.10448,10.37772973,12.3869616,7.368872211,7.599392128,7.823442215,7.233157291,2.222071567,3.143677876,34.1,11,6.2,9.4,18.9,7.4,8.6,7.3,2.5,2.8
AD23-111,p.form,40.75590978,14.18434297,18.13790852,7.796562986,13.59651298,15.03851736,7.636220814,8.420683811,8.516212491,7.6088683,3.047281621,2.8357368,38.5,12.5,7.2,11.1,23.2,7.9,10.4,8.6,3.2,3
AD23-112,p.form,42.35499813,15.12605221,19.19282036,8.104089233,13.5329462,16.06048173,7.868459473,7.964192642,8.845215231,7.745254848,2.457340772,3.395906989,38,12.2,7,10.8,22.8,7.5,8.7,7.9,3,3.5
AD23-113,p.form,37.70395712,12.36770837,16.05141741,6.431568903,12.41527888,13.6373733,7.363364936,6.914393207,7.478788353,6.741663387,2.232542966,3.086767854,33,10.3,5.5,10.1,18.7,6.9,8.4,7.3,2.6,3.1
AD23-114,p.form,23.26668524,7.167140319,10.01082053,3.898877789,7.978464851,8.871258496,3.758972107,4.384151094,4.806402855,4.376276247,1.266552793,2.195816656,22.1,6.5,3.5,6.3,12.7,4.7,5.8,4.7,1.7,2.4
AD23-115,p.form,31.54416434,9.967240173,12.96308514,5.2762,10.74659183,11.95392929,5.540886269,5.096788126,6.295236856,5.535525553,2.194372614,2.529291501,29.1,9.4,4.2,9.2,17,5.4,7.8,6.1,2.5,2.7
AD23-116,p.form,38.16551113,13.25426595,16.37161405,6.589833741,12.57525312,13.22360547,7.037906582,7.988589418,8.381,7.935668466,2.39782936,3.010597768,35.1,11.2,6.3,9.5,20.7,7.5,9,7.6,2.6,3
AD23-117,p.form,38.01578388,12.95080297,16.47378545,6.59448,13.34478837,12.38366951,7.712073796,8.550852952,8.174346924,7.975286867,2.504576702,3.055441424,31.8,10.9,5.7,9.6,19.5,6.8,8.5,6.6,2.5,3
AD23-118,p.form,35.0400344,12.16098525,15.71921284,6.291960632,10.02668205,12.41503175,6.845792621,7.494574676,7.673056004,7.162859516,1.939409577,2.637440414,31.5,9.1,6.5,9.2,18.7,6.5,8.5,7.5,2.5,3.2
AD23-119,p.form,32.43362502,10.60949868,13.84491222,5.505605208,11.29899,10.59138418,5.754993587,7.173940057,6.82497433,6.729872019,1.747952929,2.75264,29,9.4,4.5,9,15.7,5.4,7.4,6.8,2.2,2.6
AD23-120,p.lat,39.23967237,14.43480121,16.71805608,6.086084051,12.91704316,12.11515463,8.709250682,8.52665894,9.301046748,8.389309447,2.478160164,3.356238895,35.4,11.3,6.1,10.4,29.4,8.7,8.7,8.2,2.7,3.3
AD23-121,p.lat,38.51570738,14.63446605,16.90308563,7.031738535,11.77722104,11.32374913,10.40890004,8.637065419,9.157313283,8.498721354,2.018049962,3.131213084,36.4,12.1,6.5,10.1,19.8,9.6,8.3,8.8,2.5,3.5
AD23-122,p.lat,42.17920164,15.98485,17.7738106,7.744008737,13.25264942,12.67222328,10.87174125,9.046058623,10.03154606,9.553209189,3.344134522,3.990604921,38.5,13.5,6.6,10.9,20.4,10.5,10.1,8.9,2.5,3.6
AD23-123,p.lat,38.93610176,12.56374524,15.81763717,6.835484194,12.19306296,11.26725993,9.089926594,9.183724264,8.990296949,8.726403383,2.574641109,3.211201457,35.5,10.5,6.2,10.3,19.1,9,9.4,8.1,2.8,3.2
AD23-124,p.lat,37.12870423,13.37196124,15.69258374,7.298935938,10.88270578,10.03995,9.170277626,9.650094675,9.435095201,9.069260929,2.29660887,3.520817873,35.2,11.7,6.5,9.8,19.1,8.5,9.6,8.4,3.3,3.6
AD23-125,p.lat,42.06833398,14.69050108,18.08749351,8.333150108,13.1578965,13.48052103,10.19718786,9.121968892,9.866009022,9.461287544,2.832988223,3.72725788,39.3,12.9,7.2,11.2,21.7,9.5,9.5,8.6,2.4,3.9
AD23-126,p.lat,37.76917552,14.49544054,17.33809227,6.167321466,11.09800993,13.41871305,8.453719511,7.245171956,8.84034,7.8941099,1.529806657,3.615407767,36.4,13.5,6.4,10.5,19.8,9,8.8,8.1,2.6,3.7
AD23-127,p.lat,35.73739736,13.62288384,16.11044906,6.031022121,10.54148829,11.70774687,8.158568511,7.655743864,7.906865901,7.300927808,2.041174969,3.1251,34,12.4,6.2,9.2,19.3,8.1,8.9,7.5,2.6,3.3
AD23-128,p.lat,38.75528792,15.32152518,17.66681371,7.659372403,11.80316476,11.36931289,9.506826206,8.837778769,9.414349663,9.073725595,2.093804501,3.3235,37,13.5,7.4,10.1,19.8,8.8,9.5,8.4,3,3.5
AD23-129,p.lat,35.46463496,11.9683014,15.23842076,5.796290969,10.76929827,12.44529573,7.742001852,6.647283684,7.716752796,6.74389481,2.410408326,2.893925525,34.1,10.4,5.4,9.8,18.9,8.1,9.1,8,2.8,3.3
AD23-130,p.lat,37.1112833,13.58888677,16.53312839,6.35258478,11.12592217,12.74862641,8.385739133,6.133401366,7.793721642,7.140641475,1.852214049,2.992553627,37.6,12.4,6.5,10,19.2,9.2,8.1,7.8,2.5,3.3
AD23-131,p.lat,37.23334425,12.17770258,15.76541308,6.13228203,11.49313024,13.50547581,9.204072703,6.405950654,8.527327014,7.453822436,2.398410542,3.2686,35.5,11.6,6.4,10.5,19.5,8.8,8.8,7.8,3,3.8
AD23-132,p.lat,35.73354614,13.43257834,15.7671205,6.500697918,11.20259396,11.86565287,8.134530029,6.91110294,7.429574949,7.059516145,2.404831204,3.179709762,36.1,11.5,6.7,10.7,19.4,8.7,9.7,8.5,2.9,3.7
AD23-133,p.lat,36.32056255,13.71554804,16.85702703,6.01894239,10.9927947,13.16411041,8.859521325,6.310187812,7.957628297,7.275393212,2.105107907,3.163304022,35.3,13.4,6.4,9.6,19,9.3,8.4,8,3,3.7
AD23-134,p.lat,34.5238822,12.35583316,14.90878609,6.669952283,10.81637325,12.0802399,8.320249635,6.127051541,7.647690945,6.803183434,1.863497251,3.07328,34.5,11.7,6.5,10.2,19.1,9,8.6,8,2.7,3.2
AD23-135,p.lat,32.91251282,12.53772155,15.28027012,6.330507871,9.453447618,11.61780383,7.52609467,6.138792657,7.146064116,6.743665635,1.889792998,3.02508,31.5,11.5,5.5,9.1,18.8,8,8.3,7.2,2.7,3.1
AD23-136,p.lat,32.54502188,10.69941743,13.67476755,5.902128534,10.0922358,10.92211683,7.789212258,6.015616653,7.403386395,6.803518087,1.89266771,2.907977381,32,9,5.5,9.2,17.5,8.1,8.1,7,2.6,3.1
AD23-137,p.lat,34.612891,12.32053074,15.5230344,6.473196395,10.11184274,12.72241502,8.089568901,6.137731034,7.460621225,6.771755404,2.002365102,3.174198964,33.2,11.6,5.4,9.6,19,8.1,8.4,7.5,2.8,3
AD23-138,p.lat,34.183664,13.34434796,14.67726904,5.618345232,9.686275326,11.55995167,8.324257447,6.771464216,7.54435636,6.807363512,2.179006201,3.078608014,32.5,12.3,5.5,9.4,17.8,8.4,8.5,7.4,2.5,3.3
AD23-139,p.lat,35.19619981,11.17482755,14.2866796,6.330012708,11.02134929,11.29522489,8.843230809,6.592545041,8.246163996,7.368969391,2.235970511,2.994898359,33.6,10,6.1,9.6,18.3,9.5,8.4,8.2,2.9,3.5
AD23-140,p.lat,36.86946077,13.95944242,16.62814099,6.944809508,11.68493547,12.83571256,7.973513401,6.558722747,8.089754616,7.443839368,2.464917124,3.064613226,35.6,11.5,6.5,10.7,19.4,9.1,9.5,9.1,3.1,3.1
AD23-141,p.lat,33.44609765,11.85118343,14.02429497,6.576866624,11.39466659,10.59476401,8.201269524,6.305851334,7.910350353,7.085361151,2.388938435,3.065637103,32.4,11.4,5.5,11.2,16.5,8.6,8.4,7.7,3.1,2.9
AD23-142,p.lat,36.42024611,14.4831013,15.89263979,6.432881677,10.9611639,11.31255441,8.837586095,7.279030789,7.968478316,7.217640774,2.522943975,3.065928711,35.4,13.5,4.5,10.4,19.1,9.5,9.6,8.1,3.1,3
AD23-143,p.lat,36.54584556,13.45491526,15.8275371,6.570403449,11.57432746,11.87401172,8.689625206,6.745228445,7.435353157,7.063426017,2.254206574,2.977639956,33.9,11.6,5.7,10.7,18.5,8.7,8.1,7.5,2.7,2.9
AD23-144,p.lat,34.63788595,13.24231244,15.53277945,6.497539426,10.88457597,11.67983416,8.067749238,6.765550996,7.757927099,7.174452157,2.272340372,3.167201998,33.7,11.5,6.2,10.5,18.5,8.7,8.5,7.7,3.2,3
AD23-145,p.lat,30.02853846,10.97370283,13.50869099,5.567562717,9.280759161,10.29129585,7.173132273,5.546334756,6.434143114,6.011522518,1.63622743,2.616142813,28.8,9.5,5,8.8,15.5,7.5,7.9,6.5,2.3,2.7
AD23-146,p.lat,35.13177017,13.34418184,15.85348926,6.475125029,10.9719058,12.13033568,8.886954378,6.399382675,7.820362956,7.24234716,2.069641747,3.174982927,33.7,12,6.3,10.7,18.6,9,8.4,8.2,2.4,3.4
AD23-147,p.lat,40.41546202,15.092035,18.21611561,7.770680617,12.71665401,13.90782479,8.851395271,7.786552591,8.703005946,8.152394986,3.011035453,3.648445285,38,13.8,6.9,11.4,21.6,10.4,8.5,7.8,3.4,3.6
AD23-148,p.lat,41.43065023,15.10078793,18.22981153,7.649896443,12.71973664,13.07423683,9.574808095,8.271256112,8.466018156,8.210501636,3.238135809,3.454918516,39.3,13.6,7.1,12,20.7,10.4,9.9,8.4,3.3,3.5
AD23-149,p.lat,28.94571028,10.68185608,12.8774681,5.214801949,9.104407374,10.05052616,6.640712978,5.551146395,6.492801074,6.136278993,2.001178606,2.652230015,28.6,9.3,4.5,7.8,15.6,7.9,7.1,6.7,2.2,2.6
AD23-150,p.lat,33.94101808,11.82700312,14.61368855,5.86543368,10.84826261,10.25583087,8.516130944,7.221880854,7.605170893,7.415535255,2.075507077,2.778466585,33.2,10.2,5.1,9.7,17.5,8.9,8.3,7.1,2.6,3.1
AD23-151,p.lat,32.46120765,12.04552668,14.74151562,5.978921286,10.40766659,10.14232961,6.889152802,7.658800899,7.668308789,7.40357235,2.242407537,3.08756723,32.3,10.1,5.3,9.5,18.2,7,8.5,7.4,3,3.2
AD23-152,p.lat,38.31624923,16.10863741,17.08919466,6.58365563,11.48920904,11.46657716,8.720292894,8.448386341,8.472070067,8.16821504,2.700278387,3.427938692,38,14.2,6.5,10.7,20.4,8,9.2,8.4,3.4,3.4
AD23-153,p.lat,37.06278802,13.39888873,16.80197497,6.257743633,11.07345014,11.95678062,8.018842826,8.153936713,8.397297658,8.152580012,2.369692986,3.094549533,36.4,10.4,5.3,9.9,19.9,8.7,9.8,8.2,2.6,3.4
AD23-154,p.lat,36.59333731,13.92584513,16.38048706,6.056152502,11.38102555,11.50445779,8.079161183,7.958176576,8.394673953,8.039403009,2.949508685,2.9170399,35,12.8,6.5,10.5,19.9,8.4,8.5,7.6,3.2,3.1
AD23-155,p.lat,35.97286756,12.26619785,15.84802851,6.845810147,11.09964425,10.50394751,8.240687027,8.513624946,8.379470025,8.339090824,2.410532473,3.261560265,34.9,11.3,6.4,10.4,18.9,9.1,8.2,7.6,3.5,3.5
AD23-156,p.lat,36.79249408,13.62951152,16.65671497,6.436408256,11.61502281,10.57254493,8.061492131,8.379973545,8.327555961,8.48041954,2.19921811,3.03870214,36.3,11.2,5,11.2,19.2,8.3,8.9,7.5,2.8,3.3
AD23-157,p.lat,31.41477399,11.30125041,13.38124562,5.765721319,9.937966821,9.902475111,7.77282316,6.279932551,7.107262674,6.643492495,2.191600734,2.75982367,30.5,10.3,5.1,9,17.5,8,8,6.5,2.6,2.9
AD23-158,p.lat,29.14177614,10.5807285,13.33876087,5.397003556,8.424899708,9.742858832,7.019070309,6.200059165,6.694376761,6.550173276,1.733515811,2.654468811,29,10.7,5,7.7,16.5,7.3,7.5,6.3,2.2,2.7
AD23-159,p.lat,30.47674964,10.23260063,13.17757409,5.726263065,9.850424371,8.960133797,6.752362715,7.072469432,7.099331328,7.059884172,1.85687244,2.486397561,29.2,9,4.9,8.8,16.2,7.9,7.5,6.6,2.5,2.6
AD23-160,p.mex,28.73835294,9.309284835,13.36391253,4.834837457,9.242059892,12.39016029,3.294595566,5.444029525,6.184154962,5.692731392,2.218229086,2.474915819,28,8.2,4.3,8,17.7,3.5,7.4,5.7,2.3,2.6
AD23-161,p.mex,32.36680698,11.19947003,15.55845161,6.094251813,10.26627922,15.36611156,3.591398739,4.56386397,6.643612719,5.384070598,2.267511916,2.550807558,31.5,9.4,5.4,9.6,20.3,4.4,6.6,6.6,2.6,3
AD23-162,p.mex,35.99303856,12.43393069,17.66865617,5.931548446,11.78671088,15.13195616,3.951289995,6.635355613,6.675153477,6.378011078,2.208902311,2.911949573,35.5,10.6,5.4,11,21.8,4,7.1,5.7,2.6,2.8
AD23-163,p.mex,33.75152035,10.2794067,15.25236484,5.871324813,10.9560411,16.49796598,3.72129288,4.126924883,7.075865129,6.018101563,2.382305734,2.913903837,33.1,8.8,5.4,10.2,20.5,4.2,7,6.8,3,3
AD23-164,p.mex,36.19359566,12.00999792,17.83656755,6.50783661,12.01817328,17.69382311,3.782917497,5.016363941,7.307032044,6.197479123,2.245650171,2.976359301,35.8,9.5,5.5,11.4,22.9,4.3,7.8,7.3,2.8,3.2
AD23-165,p.mex,31.92316581,10.98336346,14.65858504,5.747798013,10.67622177,11.6913172,3.511113058,7.355397075,6.86431274,6.841133124,2.178632521,2.646260825,31.7,8.9,5,10.5,19.4,4.4,7,6.4,2.6,2.7
AD23-166,p.mex,32.42937601,10.89115638,15.22523152,5.461827479,10.4180839,13.18989548,3.322390586,7.154613561,6.812288434,6.566886286,2.133665358,2.764449096,32.3,10.1,4.9,9.5,10.4,4,7.7,6.4,3,3
AD23-167,p.mex,30.45628301,9.885652446,14.30656317,5.27936123,9.936685184,11.97971779,3.243558122,6.575876662,6.351800366,6.170448942,2.049101034,2.602526274,29.9,8.7,4.7,8.9,18.1,4,7,6,2.8,2.7
AD23-168,p.mex,33.45025238,11.46065317,15.4875571,6.209730358,11.017508,13.31779466,4.106904022,6.978765591,6.95933211,6.533006043,2.420221508,2.825822571,33.6,9.5,5.1,10.6,20.5,4.4,7.3,5.9,2.6,2.8
AD23-170,p.mex,40.85371223,13.03846079,18.91183994,7.259204131,13.3568935,17.40184273,5.176124005,7.108814204,8.28317315,7.390101321,2.593222982,3.241495463,38.4,10.1,6.4,11.5,24,5,8.5,7.4,3.5,3.5
AD23-171,p.mex,39.88544397,13.64764422,18.97136045,7.279685261,13.21534047,16.47204084,3.813254058,8.620309022,8.502903925,7.777804692,3.332789652,3.230134358,39,11.4,6.6,12.5,24.3,5.5,9.1,7.7,3.5,3.3
AD23-172,p.mex,33.39226717,11.26309337,15.44937557,5.613399831,10.06783902,12.40379164,4.42641279,8.00608859,7.163096185,7.202290406,2.363174098,2.722646955,30.8,8.4,4.6,8.6,19.5,4.4,7.5,6.5,2.7,2.8
AD23-173,p.mex,31.30771322,9.725862819,14.41850914,5.2816954,10.31497743,11.98972366,4.0043705,7.055369912,6.468761543,6.466250291,2.106582319,2.631962381,29.6,7.4,4.1,9.1,18,4,7.1,5.4,2.5,2.7
AD23-175,p.mex,32.65886086,11.19578739,15.17518908,6.041058533,10.839878,12.18178079,4.145333728,7.623707445,7.265742104,7.125242617,2.227162331,2.629335471,30.4,8.8,5.4,9.7,18.5,4,7.1,6.3,2.8,2.9
AD23-189,p.mex,42.66693822,15.07969749,22.0298217,7.032519628,12.94730366,18.45481172,4.562564816,8.274708144,8.53856487,8.109756661,2.538336804,3.029698906,41.5,12,6.5,12.5,26.5,3.9,8.9,7.8,2.6,3.2
AD23-190,p.mex,44.0653687,16.8553341,21.8732771,7.74584771,14.02309448,17.01498743,5.116283528,9.713158919,9.533664071,9.042306074,2.691210602,3.460792719,41.3,13.2,6.8,12.5,26.5,5.4,8.5,8.1,2.6,3.5
AD23-191,p.mex,40.54628989,15.09876787,19.80018354,6.598222357,12.81414885,16.85105114,4.708587149,7.281164048,8.078725342,7.349889749,2.737282496,3.123293402,38.5,13.2,5.5,11.1,23.6,5.2,8.1,8,2.7,3.3
AD23-192,p.mex,37.69588704,13.43878332,17.91197775,6.422166409,11.58221334,13.37340493,4.423949473,9.199784614,8.474528391,8.417213227,3.015450355,3.077743507,36.8,11.3,6.5,11.5,23.1,3.9,8.3,7.2,2.7,3.1
AD23-193,p.mex,38.67865166,14.63869327,18.91117642,6.835899285,12.78375372,14.91061322,5.262195211,8.079018848,8.343369528,7.663065262,2.235168223,3.234329983,35.2,9.6,6.5,10.9,21.3,6,8.6,7.3,2.5,3.1
AD23-194,p.mex,37.09367097,13.82647061,18.18842094,6.053152567,11.85509158,15.77464956,5.21238258,7.119569661,7.430604842,6.624919936,2.58439774,2.941310647,36.4,11.2,5.4,12,23.8,4.4,8.2,7.8,2.7,3
AD23-195,p.mex,44.77742318,15.44244898,20.79971504,7.835411462,14.37740475,16.29407992,5.257129841,10.80131941,10.04066697,9.851482825,3.433433689,3.724501903,43.2,13.9,7.2,14,27.1,5.8,9.8,8.6,3.4,3.6
